tract2010,town,totalMathAvgScaleScoreZ-CSDE2013,totalReadAvgScaleScoreZ-CSDE2013,collegeZ-ACS0812,publicassistZ-ACS0812,povertyZ-ACS0812,unemploymentZ-ACS0812,owneroccupiedZ-ACS0812,vacancyZ-ACS0812,employment_access_index-LAIv2,job_diversity_index-LAIv2,jobchangeZ-ACS0812,crimeZ-UCR2010,index2014,level2014
101.01,Greenwich,1.018857584,1.184597211,1.03703773,0.758620145,0.423897513,0.944259616,0.688966376,-0.419425562,0.163371011,-0.698607131,-0.388810422,0.948520883,0.471773746,Very High
101.02,Greenwich,1.018857584,1.184597211,1.514886607,0.762688938,0.799470765,0.52687711,0.760772904,0.508215201,-0.21015836,-0.696223172,-0.388810422,0.948520883,0.560807938,Very High
102.01,Greenwich,1.018857584,1.184597211,1.673756544,0.825393556,0.735996046,0.637215582,0.803404005,-0.005443692,0.191254229,-0.508128565,-0.388810422,0.948520883,0.59305108,Very High
102.02,Greenwich,1.018857584,1.184597211,1.4659926,0.735461167,0.57868311,0.989434427,0.426173658,0.381109362,0.356128822,-0.757919902,-0.388810422,0.948520883,0.578185708,Very High
103,Greenwich,1.018857584,1.184597211,1.324296455,0.734959306,0.747333853,-0.016123912,0.373916726,0.056260605,0.852584248,-0.569484144,-0.388810422,0.948520883,0.522242366,Very High
104,Greenwich,1.018857584,1.184597211,0.302067367,0.778369072,0.760652284,0.61853589,0.16689673,0.284810879,0.899983732,-0.698146317,-0.388810422,0.948520883,0.489694575,Very High
105,Greenwich,1.018857584,1.184597211,0.08016058,0.475500605,0.1462534,0.025845179,-1.342672557,-0.259970095,1.106090523,-0.767698325,-0.388810422,0.948520883,0.185556214,Moderate
106,Greenwich,1.018857584,1.184597211,0.936065981,0.536045869,0.018620458,0.511420553,-0.985287247,-2.144092988,1.17503666,-0.596058844,-0.388810422,0.948520883,0.184576308,Moderate
107,Greenwich,1.018857584,1.184597211,0.864245421,0.413693021,0.408764605,-0.868726153,-0.643893864,-0.150420819,1.096398804,-0.615620884,-0.388810422,0.948520883,0.272300449,High
108,Greenwich,1.018857584,1.184597211,1.447891106,0.758342174,0.432940802,0.495754458,0.599115906,0.419186824,0.593133683,-0.703286203,-0.388810422,0.948520883,0.567187001,Very High
109,Greenwich,1.018857584,1.184597211,1.363626636,0.573141511,0.640184397,0.29099224,0.219771015,0.892446006,0.93138664,-0.807061486,-0.388810422,0.948520883,0.572304351,Very High
110,Greenwich,1.018857584,1.184597211,1.770979402,0.703719782,0.839578503,0.275538907,0.797081366,0.390089286,0.816993997,-1.067258516,-0.388810422,0.948520883,0.607490665,Very High
111,Greenwich,1.018857584,1.184597211,1.79234819,0.787524005,0.696088543,0.833145922,0.770966065,0.564063206,0.59421802,-0.896706402,-0.388810422,0.948520883,0.6587344,Very High
112,Greenwich,1.018857584,1.184597211,1.609436782,0.825393556,0.610362686,0.684757441,0.276298144,0.037407656,0.942100807,-0.739892819,-0.388810422,0.948520883,0.584085792,Very High
113,Greenwich,1.018857584,1.184597211,-0.247154745,0.472265953,0.576190925,0.397464971,-1.140512358,0.185413323,0.802195465,-0.846642079,-0.388810422,0.948520883,0.246865559,High
201,Stamford,0.129390572,-0.088270612,-0.019687496,-1.167111707,-1.475868025,-0.438285302,-2.104731512,-0.284728174,2.49701875,-1.118112865,0.972776042,0.384099774,-0.226125879,Low
202,Stamford,0.129390572,-0.088270612,0.896451632,0.825393556,0.808967708,0.45915586,1.016873809,0.319746815,-0.337795226,-0.741961824,0.972776042,0.384099774,0.387069009,High
203,Stamford,0.129390572,-0.088270612,1.204161326,0.790197792,0.880514957,-0.256270853,0.912217387,0.97079131,-0.452297246,-0.708249714,0.972776042,0.384099774,0.394921728,High
204,Stamford,0.129390572,-0.088270612,1.183622916,0.740797347,0.705563362,-0.068731359,1.128033767,0.894901787,-0.242369334,-0.811709145,0.972776042,0.384099774,0.410675426,High
205,Stamford,0.129390572,-0.088270612,1.111413511,0.825393556,0.761072597,0.366200996,0.688617106,0.298800587,0.420527036,-0.968260634,0.972776042,0.384099774,0.408480044,High
206,Stamford,0.129390572,-0.088270612,0.624919493,0.696365186,0.507215823,0.436257617,0.797949714,-0.164378845,0.211164175,-1.083182351,0.972776042,0.384099774,0.285358882,High
207,Stamford,0.129390572,-0.088270612,0.733087009,0.584295565,0.796287925,1.03807917,0.767968891,0.891417042,0.020965986,-0.896021456,0.972776042,0.384099774,0.444506326,Very High
208,Stamford,0.129390572,-0.088270612,0.872653702,0.648294569,0.795529078,1.080917386,1.123607628,0.773750509,0.366611477,-1.144036072,0.972776042,0.384099774,0.492943671,Very High
209,Stamford,0.129390572,-0.088270612,0.64862765,0.544374641,0.182734731,0.138227038,-0.179258035,0.045061229,0.199049156,-1.039053463,0.972776042,0.384099774,0.161479894,Moderate
210,Stamford,0.129390572,-0.088270612,0.716113551,0.777859215,0.709113485,-0.173034531,0.317400949,0.443273062,0.566459932,-1.201963755,0.972776042,0.384099774,0.296101474,High
211,Stamford,0.129390572,-0.088270612,0.581619009,0.257299283,0.222577135,0.360969832,-0.395657301,0.436731023,1.183656994,-1.257549809,0.972776042,0.384099774,0.232303495,High
212,Stamford,0.129390572,-0.088270612,0.976286339,0.73692023,0.651292371,-0.073509347,0.517304049,0.892659994,1.254448239,-1.16771218,0.972776042,0.384099774,0.432140456,High
213,Stamford,0.129390572,-0.088270612,0.084867393,0.22102619,0.429226465,-0.259839833,0.023865327,0.478932054,1.899232929,-0.995111321,0.972776042,0.384099774,0.273349582,High
214,Stamford,0.129390572,-0.088270612,-1.587761648,0.17022074,-0.108463431,-1.093120857,-1.306803766,-0.016284636,2.073145406,-0.933805181,0.972776042,0.384099774,-0.117073133,Low
215,Stamford,0.129390572,-0.088270612,-1.604795647,-0.684688963,-0.673352554,-0.79599875,-1.61040445,0.21905892,2.492793657,-1.105000067,0.972776042,0.384099774,-0.197032673,Low
216,Stamford,0.129390572,-0.088270612,0.759679899,0.271552812,0.346893629,0.267845182,-1.496037681,-0.177335389,2.271615778,-1.061560352,0.972776042,0.384099774,0.215054138,Moderate
217,Stamford,0.129390572,-0.088270612,0.661698292,0.354705889,-0.399376852,0.294239478,-1.851819604,-0.284416156,2.305871143,-1.181728581,0.972776042,0.384099774,0.108097449,Moderate
